"nutrients","totals","level"
"calories","10655.27892600732","1.0795622012165471"
"folate_dfe","6.626828218847154","2.366724363873984"
"vitamin_b6","13.614072928221285","1.4960519701342072"
"zinc","91.54495512868252","1.3766158665967296"
"molybdenum","0.315","1.0"
"iodine","234.3991807118923","223.23731496370695"
"vit_e_a_tocopherol","105.00000000000017","1.0000000000000016"
"potassium","32899.99999999999","0.9999999999999998"
"iron","163.28311818798724","1.555077316076069"
"o3_epa_dha_dpa","0.875","1.0"
"vitamin_k1","0.735","1.0"
"vitamin_c","577.4999999999999","0.9999999999999998"
"niacin_ne","226.15249674394803","2.1538333023233145"
"manganese","38.160031980021465","2.659235678050276"
"copper","37.86809422603558","6.0108086073072355"
"protein","813.6674018545964","3.058900006972167"
"selenium","0.5042227482429527","1.3096694759557213"
"phosphorus","12322.612127561591","2.514818801543182"
"calcium","7000.0","1.0"
"magnesium","4103.753321051358","1.5844607417186711"
"riboflavin","17.50005479366867","2.173919850145176"
"biotin","0.21000000000000002","1.0000000000000002"
"vitamin_a_rae","35297.018804556974","6303.039072242317"
"pantothenic_acid","48.62287341758304","1.3892249547880868"
"thiamin","10.70809109245638","1.3906611808384908"
"chromium","0.21000000000000005","1.0000000000000002"
"vitamin_b12","0.10692813979445427","6.364770225860374"
