FoodID~Chapter~Food Name~25-hydroxyvitamin D3~Alcohol~Alpha-carotene~Alpha-tocopherol~Available carbohydrate, FSANZ~Available carbohydrates by weight~Beta-carotene~Beta-tocopherol~Biotin~Boron~Cadmium~Caffeine~Calcium~Cesium~Chloride~Cholecalciferol (Vitamin D3)~Cholesterol~Chromium~Copper~Dietary folate equivalents~Edible portion~Energy, total metabolisable (kcal)~Energy, total metabolisable (kJ)~Ergocalciferol (Vitamin D2)~Fat, total~Fatty acid 18:3~Fatty acid 18:3 omega-3~Fatty acid 20:5~Fatty acid 20:5 omega-3~Fatty acid 22:6~Fatty acid 22:6 omega-3~Fatty acids, total~Fatty acids, total long chain polyunsaturated omega-3~Fatty acids, total monounsaturated~Fatty acids, total monounsaturated trans~Fatty acids, total polyunsaturated~Fatty acids, total polyunsaturated omega-3~Fatty acids, total polyunsaturated omega-6~Fatty acids, total polyunsaturated trans~Fatty acids, total saturated~Fatty acids, total trans~Fibre, total dietary~Fibre, water-insoluble~Fibre, water-soluble~Fluoride~Folate food, naturally occurring food folates~Folate, total~Fructose~Gamma-tocopherol~Glucose~Glutamic acid~Glutamic acid (/g N)~Glutamic acid (grams)~Glycine~Glycine (/g N)~Glycine (grams)~Glycogen~Glycogen (monosaccharide equivalents)~Histidine~Histidine (/g N)~Histidine (grams)~Hydroxyproline~Hydroxyproline (/g N)~Hydroxyproline (grams)~Iodide~Iron~Isoleucine~Isoleucine (/g N)~Isoleucine (grams)~Lactic acid (grams)~Lactose~Lactose (monosaccharide equivalents)~Lead~Leucine~Leucine (/g N)~Leucine (grams)~Lithium~Lutein~Lycopene~Lysine~Lysine (/g N)~Lysine (grams)~Magnesium~Malic acid (grams)~Maltodextrin~Maltose~Maltose (monosaccharide equivalents)~Manganese~Mercury~Methionine~Methionine (/g N)~Methionine (grams)~Molybdenum~Monosaccharides, total~Niacin equivalents from tryptophan~Niacin equivalents, total~Niacin, preformed~Nickel~Nitrogen, total~Nitrogen-to-protein conversion factor~Organic acids, total (grams)~Oxalic acid (grams)~Pantothenic acid~Phenylalanine~Phenylalanine (/g N)~Phenylalanine (grams)~Phosphorus~Phytosterols, total~Polysaccharides, non-starch~Polysaccharides, non-starch, water-insoluble~Polysaccharides, non-starch, water-soluble~Potassium~Proline~Proline (/g N)~Proline (grams)~Protein, total; calculated from total nitrogen~Proximates, total~Quinic acid (grams)~Retinol~Riboflavin~Rubidium~Selenium~Serine~Serine (/g N)~Serine (grams)~Silicon (acid soluble)~Sodium~Starch, resistant~Starch, total~Starch, total (monosaccharide equivalents)~Succinic acid (grams)~Sucrose~Sucrose (monosaccharide equivalents)~Sugars, total~Sugars, total (monosaccharide equivalents)~Sulphur~Taurine~Taurine (/g N)~Taurine (grams)~Thiamin~Threonine~Threonine (/g N)~Threonine (grams)~Tin~Total carbohydrate by difference~Total carbohydrates by summation~Total fat-to-total fatty acids conversion factor~Tryptophan~Tryptophan (/g N)~Tryptophan (grams)~Tyrosine~Tyrosine (/g N)~Tyrosine (grams)~Valine~Valine (/g N)~Valine (grams)~Vanadium~Vitamin A, retinol equivalents~Vitamin B12~Vitamin B6~Vitamin C~Vitamin D; calculated by summation~Vitamin E, alpha-tocopherol equivalents~Vitamin K~Water~Zeaxanthin~Zinc
X10~X~Bean, seed vegetable, boiled, drained, Haricot~~0~0~~15.2~15.2~0~~0.5~~~0~65~~1~0~0~~0.14~140~100~91.8~389.53~0~0.5~~~~~~~0.4~~0.045~~0.221~~~~0.133~~8.8~~~~140~140~0.1~~0.1~980.5~925~0.98~250.16~236~0.25~~~189.74~179~0.19~~~~0.13~2.5~279.84~264~0.28~~0~0~~509.86~481~0.51~~~~480.18~453~0.48~45~~~0~0~556~~74.2~70~0.07~~0.2~1.08~1.88~0.8~~1.06~6.25~~~0.26~349.8~330~0.35~120~~6.1~3.4~2.7~320~230.02~217~0.23~6.63~101.63~~0~0.06~~0.7~369.94~349~0.37~~15~~14.4~15.84~~0.6~0.63~0.8~0.83~46~~~~0.09~270.3~255~0.27~~22.38~24~0.8~63.6~60~0.06~169.6~160~0.17~309.52~292~0.31~~0~0~0.16~0~0~0.07~~69.6~~1
X100~X~Potato, root vegetables, stem tuber, flesh, raw, combined cultivars~~0~~0.08~15.44~15.44~~~0.1~144~2.75~0~4.39~~55~0~0~3.97~0.19~14~84~70.55~299.76~0~0.06~~~~~~~0.048~~0.001~~0.031~~~~0.014~~1.7~~~~14~14~0.05~~0.15~~~~~~~~~~~~~~~0.4~0.57~~~~~0~0~0~~~~~~~~~~22.9~~~0~0~106~~~~~~0.2~0.5~1.39~0.89~~0.33~6.25~~~0.38~~~~46.1~~1.4~0.5~0.9~484~~~~2.06~98.4~~0~0~~0.27~~~~~2.54~~15.14~16.65~~0.1~0.11~0.3~0.31~32~~~~0.09~~~~~18.74~17.14~0.8~~~~~~~~~~~1~0~0.03~12.4~0~0.08~~78.17~~0.2
X1001~X~Baked beans, in tomato sauce, canned, Watties~~0~0~0~12.55~12.55~80~~~220~0.64~0~35~0.28~~0~0~2~0.17~37.5~100~75.6~320.55~0~0.6~~~~~~~0.48~~0~~0.3~~~~0.1~~5.2~~~~37.5~37.5~0.8~0~0.8~~~~~~~~~~~~~~~3~1.2~~~~~0.05~0.05~0.1~~~~2~~~~~~29~~~2.1~2.21~330~0.1~~~~22~1.6~0.75~1.17~0.42~28~0.8~6.25~~~~~~~90~~5.15~3.1~2.05~280~~~~5~96.35~~0~0~0.21~2.8~~~~650~470~~8.6~9.46~~0.2~0.21~3.95~4.07~38~~~~0.01~~~~6100~21.4~17.75~0.8~~~~~~~~~~11~13.36~0~0.12~0~0~0~~71~~0.55
X1002~X~Baked beans, in tomato sauce, canned, Pam's~~0~0~0~10.7~10.7~80~~~170~0.43~0~41~0.1~~0~0~1~0.16~37.5~100~68.2~289.1~0~0.6~~~~~~~0.48~~0~~0.3~~~~0.1~~5.2~~~~37.5~37.5~0.8~0~0.8~~~~~~~~~~~~~~~2.6~1.1~~~~~0.05~0.05~0.36~~~~1.6~~~~~~25~~~2.1~2.21~280~0.1~~~~19~1.6~0.84~1.26~0.42~15~0.8~6.25~~~~~~~75~~5.15~3.1~2.05~220~~~~5~99.4~~0~0~0.13~1.6~~~~1200~400~~6.75~7.43~~0.2~0.21~3.95~4.07~32~~~~0.01~~~~3900~16.5~15.9~0.8~~~~~~~~~~5~13.36~0~0.12~0~0~0~~75.9~~0.47
X1003~X~Baked beans, in tomato sauce, canned, Oaks~~0~0~0~10.95~10.95~80~~~200~0.29~0~42~0.35~~0~0~1~0.19~37.5~100~69.2~293.35~0~0.6~~~~~~~0.48~~0~~0.3~~~~0.1~~5.2~~~~37.5~37.5~1.4~0~1~~~~~~~~~~~~~~~2.8~1.2~~~~~0.05~0.05~0.49~~~~1.9~~~~~~27~~~0.05~0.05~340~0.1~~~~8.3~2.4~0.75~1.17~0.42~86~0.8~6.25~~~~~~~84~~5.15~3.1~2.05~240~~~~5~96.25~~0~0~0.22~0.47~~~~730~480~~8.25~9.08~~0.2~0.21~2.7~2.72~36~~~~0.01~~~~6900~19.9~16.15~0.8~~~~~~~~~~11~13.36~0~0.12~0~0~0~~72.5~~0.52
X1004~X~Baked beans, in tomato sauce, canned, composite~~0~0~0~11.95~11.95~80~~~~~0~37.3~~~0~0~~0.17~37.5~100~73.21~310.39~0~0.6~~~~~~~0.48~~0~~0~~~~0~~5.2~~~~37.5~37.5~0.92~0~0.84~~~~~~~~~~~~~~~2.9~1.19~~~~~0.05~0.05~0.22~~~~~~~~~~28~~~1.69~1.77~324.5~~~~~~1.76~0.76~1.18~0.42~~0.8~6.25~~~~~~~86.55~~5.15~3.1~2.05~263~~~~5~94.45~~0~0~0.2~2.15~~~~~461.5~~8.25~9.08~~0.2~0.21~3.7~3.8~~~~~0.01~~~~~22.7~17.15~0.8~~~0~~~~~~~~13.36~0~0.12~0~0~0~~69.7~~0.53
X1006~X~Tomato, fruit vegetable, whole, raw, combined varieties~~0~0~0.76~2.69~2.69~549~~~~~0~6.6~~~0~0~~0.01~0~100~17.36~73.28~0~0.4~~~~~~~0.32~~0.062~~0.163~~~~0.028~~1.2~~~~0~0~1.38~0.12~1.27~~~~~~~~~~~~~~~0.11~0.2~~~~~0~0~~~~~~~~~~~7.3~~~0~0~94~~~~~~2.65~0.1~0.64~0.54~~0.12~6.25~~~~~~~22~~1.19~0.67~0.52~240~~~~0.75~99.65~~0~0.01~~0.2~~~~~1~~0.04~0.04~~0~0~2.65~2.65~~~~~0.02~~~~~4.24~3.89~0.8~~~~~~~~~~~91.68~0~0.07~23.7~0~0.77~~94.15~~0.11
X1008~X~Potato, root vegetable, stem tuber, flesh & skin, baked, combined cultivars~~0~0~0.04~16.55~16.55~2~~~~~0~7.2~~~0~0~~0.13~22.2~100~79.48~337.33~0~0.35~~~~~~~0.28~~0.007~~0.151~~~~0.091~~2.2~~~~22.2~22.2~0.4~0~0.6~~~~~~~~~~~~~~~1.09~0.7~~~~~0.05~0.05~~~~~~~~~~~23~~~0.05~0.05~200~~~~~~1~0.5~1.8~1.3~~0.41~6.25~~~~~~~45~~2.18~1.6~0.58~470~~~~2.53~98.88~~0~0.02~~0.5~~~~~1.1~~15.15~16.67~~0.3~0.32~1.4~1.42~~~~~0.03~~~~~19.87~18.75~0.8~~~~~~~~~~~0.33~0~0.36~15~0~0.04~~76~~0.41
X1009~X~Lettuce, leafy vegetable, raw, combined varieties~~0~0~0.07~1.89~1.89~267~~~~~0~9.2~~~0~0~~0.03~44.5~100~14.76~62.36~0~0.3~~0~~~~~0.24~~0~~0~0~0~~0.1~~1.56~~~~44.5~44.5~0.6~0.03~0.5~~~~~~~~~~~~~~~0.68~0.17~~~~~0~0~~~~~~~~~~~5.9~~~0~0~74~~~~~~1.1~0.2~1.9~1.7~~0.18~6.25~~~~~~~19~~1.54~~~170~~~~1.13~101.89~~0~0.03~~0.2~~~~~2.2~~0.79~0.87~~0~0~1.1~1.1~~~~~0.02~~~~~1.56~3.45~0.8~~~~~~~~~~~44.59~0~0.21~10~0~0.08~~96.55~~0.07
X101~X~Potato, fries, fried in beef dripping, salt added~~0~~0.1~28.66~28.66~34~~0.4~157~0~0~7~~223~0~10~0~0.25~41~100~185.98~782.59~0~6.26~~~~~~~5.985~~2.89~~0.257~~~~2.584~~4.73~~~~41~41~0.13~~0.15~481.8~803~0.48~127.8~213~0.13~~~72~120~0.07~~~~7.03~1.3~157.2~262~0.16~~0~0~0~226.2~377~0.23~~~~206.4~344~0.21~33~~~0~0~235~~60~100~0.06~0~0.28~0.92~1.82~0.9~~0.6~6.25~~~0.2~167.4~279~0.17~69~~1.4~0.7~0.7~881~147.6~246~0.15~3.75~101.53~~0~0.1~~0.35~157.2~262~0.16~~145~~28.1~30.91~~0.28~0.29~0.56~0.57~76~~~~0.13~147.6~246~0.15~~31.86~33.39~0.96~54~90~0.05~118.2~197~0.12~196.8~328~0.2~~5.68~0~0.15~11~0~0.1~~56.44~~0.6
X1010~X~Kumara, root vegetable, root tuber, flesh, boiled, drained, no salt added, combined cultivars~~0~0~0.47~13.05~13.05~15~~~~~0~22~~~0~0~~0.16~32.35~100~60.4~256.33~0~0.3~~~~~~~0.24~~0~~0.13~~~~0.066~~2.1~~~~32.35~32.35~0.8~0~1.05~~~~~~~~~~~~~~~0.29~0.48~~~~~0.05~0.05~~~~~~~~~~~19~~~0~0~450~~~~~~1.85~0.2~2.2~2~~0.22~6.25~~~~~~~35~~2.08~1.3~0.78~350~~~~1.38~95.08~~0~0.02~~0.48~~~~~18~~8.5~9.35~~2.65~2.78~4.55~4.69~~~~~0.03~~~~~20.08~15.15~0.8~~~~~~~~~~~2.51~0~0.25~19~0~0.47~~77.4~~0.26
X1011~X~Potato, root vegetable, stem tuber, flesh, boiled, combined cultivars~~0~0~0.06~13.7~13.7~7~~~~~0~2.7~~~0~0~~0.09~14.1~100~62.68~266.06~0~0.25~~~~~~~0.2~~0.005~~0.1~~~~0.065~~1.5~~~~14.1~14.1~0.45~0~0.33~~~~~~~~~~~~~~~0.28~0.33~~~~~0.05~0.05~~~~~~~~~~~14~~~0.05~0.05~130~~~~~~0.78~0.5~1.49~0.99~~0.23~6.25~~~~~~~28~~1.49~1.1~0.39~260~~~~1.41~101.17~~0~0.02~~0.47~~~~~0.5~~12.55~13.81~~0.28~0.29~1.15~1.17~~~~~0.02~~~~~14.03~15.2~0.8~~~~~~~~~~~1.17~0~0.16~9~0~0.06~~83.65~~0.24
X1012~X~Puwha, leafy vegetable, raw, Prickly Sow Thistle~~0~0~0.52~0.43~0.43~4140~~~~~0~100~~~0~0~~0.15~95.6~100~19~79.67~0~0.85~~~~~~~0.68~~0.041~~0.322~~~~0.1~~3.2~~~~95.6~95.6~0.03~0.01~0.03~~~~~~~~~~~~~~~0.69~0.89~~~~~0.05~0.05~~~~~~~~~~~28~~~0.05~0.05~1200~~~~~~0.05~0.5~2.6~2.1~~0.39~6.25~~~~~~~29~~3.17~2.3~0.87~450~~~~2.41~99.14~~0~0.18~~0.2~~~~~110~~0.23~0.25~~0.05~0.05~0.2~0.21~~~~~0.02~~~~~4.49~3.63~0.8~~~~~~~~~~~691.38~0~0.36~0.98~0~0.52~153~90.75~~0.87
X1013~X~Seaweed, sea vegetable, sheet, toasted, Nori~~0~990~1.94~2.4~2.4~8140~~~~~0~240~~~0~0~~1.3~11.7~100~229.4~965.95~0~7.2~0.04~0.04~0.755~0.755~0~0~5.76~0.772~1.423~~3.151~0.818~2.333~~0.973~~38.2~28.5~9.7~~11.7~11.7~0.4~0.1~0~~~~~~~~~~~~~~~3000~20~~~~~0~0~~~~~~~~~~~360~~~0~0~3900~~~~~~0.4~0.2~17.1~16.9~~6.2~6.25~~~~~~~610~~46.9~~~2800~~~~38.75~99.7~~0~2.35~~20~~~~~690~~2~2.2~~0~0~0.4~0.4~~~~~0.17~~~~~40.9~40.6~0.8~~~~~~~~~~~1442.05~67~1.38~134~0~1.95~~2.35~~4.4
X1014~X~Seaweed, wrap from sushi, as purchased, California roll, restaurant~~0~570~0.94~7.5~7.5~5770~~~~~0~54~~~0~0~~0.81~2.17~100~125.76~530.62~0~3.09~0.042~0.037~0.222~0.222~0.067~0.067~2.472~0.336~1.105~~0.672~0.386~0.287~~0.546~~14~8.2~5.8~~2.17~2.17~1.1~0.01~1.2~~~~~~~~~~~~~~~870~4.4~~~~~0~0~~~~~~~~~~~67~~~0~0~1800~~~~~~2.3~0.2~7.55~7.35~~2.72~6.25~~~~~~~190~~22.1~~~230~~~~16.99~103.55~~0~0.22~~20~~~~~660~~3.2~3.52~~2~2.1~4.3~4.4~~~~~0.09~~~~~17.95~21.5~0.8~~~~~~~~~~~1011.19~29.16~1.27~58.32~0~0.94~~57.25~~1.8
X1016~X~Broccoflower, inflorescent vegetable, frozen, raw~~0~0~0.13~2.32~2.32~30~~~~~0~22~~~0~0~~0.04~185~49~26.76~113.21~0~0.4~0.076~0.076~~~~~0.32~~0.011~~0.107~0.076~0.03~~0.1~~2.8~2.3~0.5~~185~185~1.1~0.05~1.22~~~~~~~~~~~~~~~0.2~0.65~~~~~0~0~~~~~~~~~~~17~~~0~0~220~~~~~~2.32~0.5~1.07~0.57~~0.56~6.25~~~~~~~63~~2.22~1.46~0.76~370~~~~3.47~100.18~~0~0.14~~0.2~~~~~6.1~~0~0~~0~0~2.32~2.32~~~~~0.07~~~~~4.94~5.12~0.8~~~~~~~~~~~5.01~0~0.23~0.4~0~0.14~~90.15~~0.34
X1017~X~Broccoflower, inflorescent vegetable, frozen, microwaved~~0~0~0.13~2.48~2.48~40~~~~~0~22~~~0~0~~0.05~118.5~49~27.63~116.91~0~0.4~~~~~~~0.32~~0.011~~0.107~~~~0.1~~2.8~2.3~0.5~~118.5~118.5~1.26~0.05~1.22~~~~~~~~~~~~~~~0.13~0.66~~~~~0~0~~~~~~~~~~~17~~~0~0~230~~~~~~2.48~0.7~1.34~0.64~~0.57~6.25~~~~~~~66~~2.22~1.46~0.76~390~~~~3.53~100.01~~0~0.15~~0.2~~~~~6~~0~0~~0~0~2.48~2.48~~~~~0.08~~~~~5.27~5.28~0.8~~~~~~~~~~~6.68~0~0.23~0.16~0~0.14~~89.7~~0.35
X1018~X~Rocket, leafy vegetable, raw~~0~0~0.88~0.18~0.18~2660~~~~~0~200~~~0~0~~0.08~2.29~100~18.1~76.28~0~0.5~~~~~~~0.4~~0.049~~0.319~~~~0.086~~2.3~2.1~0.2~~2.29~2.29~0.05~0.02~0.13~~~~~~~~~~~~~~~0~0.85~~~~~0~0~~~~~~~~~~~23~~~0~0~250~~~~~~0.18~0.2~1.15~0.95~~0.52~6.25~~~~~~~41~~3.04~1.15~1.89~350~~~~3.22~100.35~~0~0.24~~0.2~~~~~13~~0~0~~0~0~0.18~0.18~~~~~0.09~~~~~0~2.48~0.8~~~~~~~~~~~444.22~0~0.23~4.95~0~0.88~~92.8~~0.42
X1019~X~Broccoflower, inflorescent vegetable, frozen, boiled, drained, no salt added~~0~0~0.22~2.48~2.48~40~~~~~0~22~~~0~0~~0.04~118.5~49~23.75~100.44~0~0.4~~~~~~~0.32~~0.011~~0.107~~~~0.1~~2.8~2.3~0.5~~118.5~118.5~1.26~0.05~1.22~~~~~~~~~~~~~~~0.13~0.74~~~~~0~0~~~~~~~~~~~11~~~0~0~230~~~~~~2.48~0.5~1.14~0.64~~0.41~6.25~~~~~~~42~~2.2~1.46~0.74~220~~~~2.56~100.63~~0~0.15~~0.2~~~~~4.2~~0~0~~0~0~2.48~2.48~~~~~0.08~~~~~4.65~5.28~0.8~~~~~~~~~~~6.68~0~0.23~0.16~0~0.23~~91.8~~0.19
X102~X~Potato, fries, fried in peanut oil, salt added~~0~~0.1~28.11~28.11~23~~0.4~174~0~0~6~~276~0~0~0~0.27~24~100~174.25~733.89~0~5.34~~~~~~~5.078~~2.52~~1.534~~~~1.011~~3.2~~~~24~24~0.09~~0.1~435.6~792~0.44~114.4~208~0.11~~~66.55~121~0.07~~~~7.03~1~149.05~271~0.15~~0~0~0~206.25~375~0.21~~~~183.15~333~0.18~31~~~0~0~238~~55~100~0.06~0~0.19~0.84~1.34~0.5~~0.55~6.25~~~0.49~149.05~271~0.15~69~~1.4~0.7~0.7~770~137.5~250~0.14~3.44~99.62~~0~0.05~~0.35~149.05~271~0.15~~179~~27.48~30.23~~0.44~0.46~0.63~0.65~70~~~~0.14~137.5~250~0.14~~31.69~31.31~0.95~49.5~90~0.05~104.5~190~0.1~172.15~313~0.17~~3.84~0~0.14~4~0~0.1~~58.18~~0.6
X1020~X~Broccoli, inflorescent vegetable, raw~~0~0~0.98~1.75~1.75~630~~~~~0~33~~~0~0~~0.05~49~70~26.63~112.53~0~0.5~~0~~~~~0.4~~0.011~~0~0~0~~0.039~~3.4~2.9~0.5~~49~49~0.82~0.06~0.93~~~~~~~~~~~~~~~0.18~0.6~~~~~0~0~~~~~~~~~~~18~~~0~0~220~~~~~~1.75~0.7~1.2~0.5~~0.61~6.25~~~~~~~78~~3.8~2.2~1.6~350~~~~3.78~99.82~~0~0.19~~5~~~~~7.4~~0~0~~0~0~1.75~1.75~~~~~0.08~~~~~5.33~5.15~0.8~~~~~~~~~~~105.21~0~0.33~99~0~0.98~~89.4~~0.47
X1021~X~Broccoli, inflorescent vegetable, microwaved~~0~0~0.76~1.75~1.75~400~~~~~0~38~~~0~0~~0.06~31~70~28.73~121.48~0~0.5~~~~~~~0.4~~0.049~~0.207~~~~0.096~~3.4~2.9~0.5~~31~31~0.82~0.06~0.93~~~~~~~~~~~~~~~0.13~0.83~~~~~0~0~~~~~~~~~~~21~~~0~0~260~~~~~~1.75~0.7~1.1~0.4~~0.69~6.25~~~~~~~94~~3.2~1.9~1.3~400~~~~4.31~99.51~~0~0.21~~5.7~~~~~6.9~~0~0~~0~0~1.75~1.75~~~~~0.1~~~~~5.64~5.15~0.8~~~~~~~~~~~66.8~0~0.35~57~0~0.77~~88.45~~0.52
X1022~X~Broccoli, inflorescent vegetable, boiled, drained, no salt added~~0~0~1.63~1.75~1.75~660~~~~~0~32~~~0~0~~0.05~31~100~23.61~99.7~0~0.5~~~~~~~0.4~~0.049~~0.207~~~~0.096~~3.4~2.9~0.5~~31~31~0.82~0.09~0.93~~~~~~~~~~~~~~~0.13~0.57~~~~~0~0~~~~~~~~~~~13~~~0~0~180~~~~~~1.75~0.7~1.1~0.4~~0.49~6.25~~~~~~~59~~3.2~1.9~1.3~180~~~~3.03~101.05~~0~0.17~~4.1~~~~~4.9~~0~0~~0~0~1.75~1.75~~~~~0.06~~~~~4.09~5.15~0.8~~~~~~~~~~~110.22~0~0.28~57~0~1.64~~91.85~~0.28
X1025~X~Yam, root vegetable, tuber, flesh, raw, Pacific~~0~0~3.3~14.6~14.6~105~~~~~0~8~~~0~0~~0.42~14.38~100~64.4~273.7~0~0~~~~~~~0~~0~~0~~~~0~~1~0.5~0.5~~14.38~14.38~0.1~0~0.2~~~~~~~~~~~~~~~0.29~0.5~~~~~0~0~~~~~~~~~~~15~~~0~0~260~~~~~~0.3~0.27~0.77~0.5~~0.24~6.25~~~~~~~48~~1.3~0.8~0.5~350~~~~1.5~99.4~~0~0.03~~0.44~~~~~3~~13.9~15.29~~0.4~0.42~0.7~0.72~~~~~0.08~~~~~16.2~15.6~0.8~~~~~~~~~~~17.54~0~0.18~21~0~3.3~~81~~0.4
X1026~X~Yam, root vegetable, root tuber, flesh, boiled, drained, no salt added, Pacific~~0~0~2.64~11.68~11.68~75.63~~0~~~0~6.46~~~0~0~~0.32~7.48~100~51.54~219.05~0~0~~~~~~~0~~0~~0~~0~~0~~0.8~0.4~0.4~~7.48~7.48~0.08~0~0.16~~~~~~~~~~~~~~~0.25~0.38~~~~~0~0~0~~~~~~~~~~11.51~~~0~0~208.08~~~~~~0.24~0.19~0.55~0.36~~0.19~6.25~~~0~~~~34.57~~1.04~0.64~0.4~252.56~~~~1.2~99.56~~0~0.02~~0.35~~~~~2.48~~11.12~12.24~~0.32~0.34~0.56~0.58~~~~~0.05~~~~~12.93~12.48~0.8~0~~~~~~~~~~12.63~0~0.13~10.92~0~2.64~~84.83~~0.3
X1029~X~Cloud ear fungus, fungus, dried~~0~0~0~3.45~3.45~0~~~~~0~159~~~0~0~~0.18~38~100~57.37~242.91~0~0.73~~~~~~~0.584~~0.231~~0.11~~~~0.164~~70.1~56.08~14.02~~38~38~0.75~0~0.75~~~~~~~~~~~~~~~36~5.88~~~~~0~0~~~~~~~~~~~83~~~0~0~1951~~~~~~1.5~1.1~7.37~6.27~~1.48~6.25~~~~~~~184~~56.08~44.86~11.22~754~~~~9.25~100.54~~0~0.84~~43.4~~~~~35~~1.2~1.32~~0.75~0.79~2.25~2.29~~~~~0.02~~~~~73.01~73.55~0.8~~~~~~~~~~~0~0~0.11~0~0~0~~14.8~~1.32
