"nutrients","totals","level"
"vitamin_a_rae","44188.62541187805","7014.067525694929"
"magnesium","5677.422758529904","1.9310961763707157"
"phosphorus","17545.855540012868","3.5807868449005853"
"folate_dfe","7.229281956006462","2.581886412859451"
"iron","211.10135519623356","3.769667057075599"
"riboflavin","19.894019284907976","2.186155965374503"
"thiamin","14.629413992799366","1.7415969039046864"
"potassium","32900.00000000001","1.0000000000000002"
"vitamin_k1","0.8400000000000001","1.0000000000000002"
"iodine","273.630348173557","260.6003315938638"
"vitamin_b12","0.12994484315147772","7.734812092349865"
"calcium","7000.000000000002","1.0000000000000002"
"vitamin_b6","18.609088315847522","2.0449547599832445"
"calories","15350.999999999996","0.9999999999999998"
"niacin_ne","243.14316826908245","2.1709211452596646"
"vit_e_a_tocopherol","104.99999999999999","0.9999999999999999"
"copper","48.303717984209165","7.6672568228903435"
"pantothenic_acid","40.65251906679741","1.1615005447656404"
"vitamin_c","630.0","1.0"
"molybdenum","0.315","1.0"
"biotin","0.21","1.0"
"o3_epa_dha_dpa","1.12","1.0"
"selenium","0.4892466342569456","1.2707704785894691"
"zinc","122.1972074712615","1.5869767204059937"
"chromium","0.245","1.0"
"protein","874.1108657369005","2.229874657492093"
"manganese","129.85760788207344","8.065689930563567"
