name,price,quantity,quantity_unit,company_id,url,food_name,raw_to_cooked,each_g
Homebrand Cheese Block Edam 1kg,800,1,kg,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=281828&name=homebrand-cheese-block-edam&searchString=edam+cheese,Cheese; Edam; Anchor,,
Homebrand Sardines In Spring Water 125g,120,125,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=827167&name=homebrand-sardines-in-spring-water&searchString=sardines+tinned,Sardines; canned; drained,,
Masterfoods Herbs Dill Tips Dried 10g,400,10,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=35951&name=masterfoods-herbs-dill-tips-dried&searchString=dill,Herb; dill weed; dried,,
Masterfoods Spice Turmeric Ground 28g,300,28,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=33982&name=masterfoods-spice-turmeric-ground&searchString=turmeric+ground,Spice; turmeric; ground,,
Homebrand Apricots Dried 500g,899,500,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=18158&name=homebrand-apricots-dried&searchString=dried+apricot,Apricot; dried,,
Fresh N Fruity Yoghurt Tub Greek Plain 1kg,550,1,kg,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=282387&name=fresh-n-fruity-yoghurt-tub-greek-plain&searchString=greek+yoghurt,Yoghurt; Greek style; low fat ; Fresh 'n Fruity,,
Freshlife Almonds Natural 450g,900,450,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=251203&name=freshlife-almonds-natural&searchString=almond,Nut; almond; raw; dried; unblanched,,
Lamb Hearts,449,600,g,prestons,https://www.prestonsmasterbutchers.co.nz/product-56236f4d1269da9041748df3,Lamb; offal; heart; simmered & drained,,
Pig Kidneys,199,400,g,prestons,https://www.prestonsmasterbutchers.co.nz/product-56236f4d476d29c4abad4cf5,Pork; kidney; core removed; stewed; salt added,,
Homebrand Salmon Pink 210g,259,210,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=94713&name=homebrand-salmon-pink&searchString=salmon+tinned,Salmon; chum; canned; drained,,
Colmans Mustard Powder 57g,349,57,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=270398&name=colmans-mustard-powder&searchString=mustard+powder,Powder; mustard,,
Freshlife Pecan Nuts 115g,499,115,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=351643&name=freshlife-pecan-nuts&searchString=pecan+nut,Nut; pecan; dried; raw,,
Butchery Nz Free Farmed Pork Schnitzel 6pce min order 315g per kg,2499,1,kg,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=729692&name=butchery-nz-free-farmed-pork-schnitzel-6pce&searchString=pork+schnitzel,Pork; schnitzel; lean; fried,,
Greggs Pepper Ground Cayenne box 40g,239,40,g,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=265335&name=greggs-pepper-ground-cayenne&searchString=cayenne+pepper,Spice; pepper; red or cayenne,,
Fresh Produce Carrots loose per kg,299,1,kg,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=135344&name=fresh-produce-carrots&searchString=carrots,Carrot; root vegetable; taproot; frozen; raw; Red Cored Chantenay,,
Fresh Produce Apricots loose per kg,699,1,kg,countdown,https://shop.countdown.co.nz/Shop/ProductDetails?stockcode=149779&name=fresh-produce-apricots&searchString=apricot,Apricot; flesh & skin; raw; Moorpark,,
