"nutrients","totals","level"
"riboflavin","19.890173811072078","2.1857333858320964"
"chromium","0.245","1.0"
"o3_epa_dha_dpa","1.1200000000000003","1.0000000000000002"
"molybdenum","0.315","1.0"
"vitamin_k1","0.8400000000000001","1.0000000000000002"
"potassium","32899.999999999985","0.9999999999999996"
"manganese","149.96303813726703","9.31447441846379"
"iodine","269.55644419853115","256.72042304622016"
"niacin_ne","245.6663771640355","2.1934497961074597"
"vitamin_c","629.9999999999999","0.9999999999999998"
"copper","49.33525660295003","7.83099311157937"
"vitamin_b6","19.689151421224516","2.1636430133213755"
"calories","16401.0","1.0"
"vitamin_b12","0.12934245288553498","7.698955528900892"
"biotin","0.21000000000000002","1.0000000000000002"
"thiamin","15.393807985888673","1.8325961887962705"
"iron","221.1839786225467","3.949713903974048"
"folate_dfe","7.312005187049834","2.6114304239463695"
"vit_e_a_tocopherol","104.99999999999997","0.9999999999999998"
"zinc","128.6759358609723","1.6711160501424973"
"pantothenic_acid","38.67064941866429","1.1048756976761225"
"calcium","6999.999999999998","0.9999999999999998"
"protein","888.0256300897828","1.9822000671646938"
"magnesium","6028.656532065016","2.0505634462806177"
"phosphorus","18690.10758934387","3.814307671294667"
"selenium","0.48470943872588956","1.2589855551321807"
"vitamin_a_rae","44130.10446058266","7004.778485806772"
