vitamin_a_rae,name,magnesium,phosphorus,price_100g,folate_dfe,iron,price,riboflavin,thiamin,potassium,vitamin_k1,iodine,quantity,vitamin_b12,calcium,vitamin_b6,calories,niacin_ne,mercury,quantity_unit,vit_e_a_tocopherol,copper,pantothenic_acid,vitamin_c,molybdenum,biotin,o3_epa_dha_dpa,selenium,zinc,chromium,id,protein,edible_portion,manganese
0.0,Sausage; black pudding; fried,16.0,110.0,86,0.005,20.0,300.0,0.07,0.09,140.0,0.0,8.02,350.0,0.001,35.0,0.04,303.4,3.91,0.0,g,0.24,0.37,0.6,1.0,0.0,0.002,0.0,0.017,1.3,0.0,26,12.88,1.0,0.62
68.0,Sardines; canned; drained,52.0,520.0,116,0.008,2.9,120.0,0.36,0.04,430.0,0.0,23.0,125.0,0.014,550.0,0.48,218.15,12.77,0.0,g,0.3,0.19,0.5,1.0,0.0,0.005,0.0,0.034,3.0,0.0,49,23.69,0.83,0.112
35.0,Snapper; flesh; baked,42.0,330.0,373,0.006,0.7,2.8e3,0.02,0.1,608.0,0.0,56.0,750.0,6.3e-4,22.0,0.1,133.03,8.6,0.0,g,0.3,0.06,0.5,0.19,0.0,0.007,0.478,0.12,0.64,0.0,20,25.19,1.0,0.023
174.2,Mushroom; fungus; fried in butter,15.0,120.0,120,0.027,0.53,1199.0,0.28,0.0,430.0,0.0,0.2,1.0,0.0,8.1,0.14,61.12,2.82,0.0,kg,0.4,0.49,2.82,0.7,0.0034,0.008,0.0,0.053,0.84,0.012,44,3.54,1.0,0.068
1.11e4,Chicken; liver in flour; fried,23.0,350.0,71,0.5,9.1,595.0,1.7,0.37,290.0,0.0,2.7,1.0,0.049,15.0,0.45,193.25,15.11,0.0,kg,0.34,0.53,5.5,13.0,0.0,0.17,0.0,0.064,3.4,0.0,1,20.69,0.84,0.278
0.0,Oil; olive,0.0,1.0,280,0.0,0.38,699.0,0.0,0.0,0.0,0.0,0.5,250.0,0.0,0.18,0.0,897.2,0.0,0.0,ml,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,72,0.0,1.0,0.0
140.0,Pork; kidney; core removed; stewed; salt added,21.0,330.0,89,0.043,6.4,199.0,2.1,0.19,190.0,0.0,0.93,400.0,0.015,13.0,0.28,152.65,11.35,0.0,g,0.36,0.84,2.4,11.0,0.0,0.053,0.0,0.25,4.7,0.0,56,24.44,0.56,0.07
34.8,Chicken; deli cooked; breast; flesh; ready to eat; composite,30.0,300.0,110,0.02,0.33,1099.0,0.15,0.2,370.0,0.0,0.8,1.0,0.0003,6.9,0.29,133.9,15.9,0.0001,kg,0.42,0.03,0.0,0.0,0.0072,0.0,0.004,0.03033,0.85,0.001,42,28.75,1.0,0.013
1.0,Nut; cashew; raw,250.0,530.0,280,0.025,5.0,699.0,0.19,0.64,550.0,0.0341,11.0,250.0,0.0,34.0,0.35,578.05,7.31,0.0,g,0.73,1.9,1.9,0.0,0.0,0.021,0.0,0.033,5.5,0.0,14,17.01,1.0,1.51
5.87,Beef; tripe; simmered,24.36,168.45,219,0.00504,3.72,1299.0,0.1,0.02,102.15,0.0,2.5,650.0,0.00229,157.63,0.01,102.82,6.17,0.0,g,0.51,0.11,0.23,0.0,0.0,0.0,0.038,0.00428,2.39,0.0,34,19.0,0.914,6.066
