mercury,price,calories,vitamin_b12,iodine,vitamin_k1,calcium,zinc,name,chromium,price_100g,vitamin_b6,selenium,molybdenum,magnesium,iron,pantothenic_acid,edible_portion,manganese,phosphorus,riboflavin,vitamin_c,folate_dfe,copper,potassium,niacin_ne,vitamin_a_rae,biotin,vit_e_a_tocopherol,quantity_unit,quantity,protein,o3_epa_dha_dpa,thiamin
0.0,1190.0,126.62,0.0008,21.6,0.0,21.0,0.87,Trevally; flesh; microwaved,0.0,119,0.1,0.0369,0.0,36.0,1.74,0.5,1.0,0.0179,281.0,0.07,0.6,0.0,0.12,495.0,8.06,30.0,0.007,0.3,kg,1.0,24.75,0.673,0.2
0.0,700.0,210.95,0.00139,55.0,0.0,65.0,1.3,Egg; chicken; white & yolk; fried in butter,0.0,101,0.03,0.027,0.011,14.0,2.1,0.0,1.0,0.029,230.0,0.38,0.0,0.0875,0.06,160.0,4.5,221.85,0.0,1.52,ea,12.0,15.0,0.0,0.07
0.0,239.0,312.8,0.0,50.7,0.0,646.0,1.09,Spice; cloves; ground,0.0,598,0.0,0.002,0.0,264.0,8.68,0.0,1.0,30.033,105.0,0.27,80.8,0.093,0.35,1.1e3,1.46,16.03,0.0,8.82,g,40.0,5.98,0.0,0.12
0.0,239.0,273.73,0.0,2.3,0.0,1890.0,6.18,Herb; thyme; dried; ground,0.0,1593,1.21,0.0046,0.0,220.0,124.0,0.0,1.0,7.87,201.0,0.4,0.0,0.274,0.86,814.0,8.04,380.84,0.0,7.48,g,15.0,9.13,0.0,0.51
0.0,399.0,376.08,0.0,13.6,0.0,931.0,4.8,Seed; cumin,0.0,1425,0.34,0.0052,0.0,366.0,66.4,0.0,1.0,3.33,499.0,0.33,7.71,0.01,0.87,1790.0,7.55,127.25,0.0,3.33,g,28.0,17.81,0.0,0.63
0.0,300.0,303.4,0.001,8.02,0.0,35.0,1.3,Sausage; black pudding; fried,0.0,86,0.04,0.017,0.0,16.0,20.0,0.6,1.0,0.62,110.0,0.07,1.0,0.005,0.37,140.0,3.91,0.0,0.002,0.24,g,350.0,12.88,0.0,0.09
0.0,399.0,297.55,0.0,2.3,0.0,1250.0,4.72,Herb; coriander; leaves; dried,0.0,4988,1.21,0.0293,0.0,697.0,42.7,0.0,1.0,6.36,483.0,1.51,569.0,0.274,1.79,4490.0,14.3,1314.29,0.0,1.03,g,8.0,21.94,0.0,1.26
0.0,249.0,555.22,0.0,9.0,0.0,43.0,7.44,Seed; pumpkin; roasted; salt added,0.0,249,0.09,0.006,0.0,534.0,14.9,0.04,1.0,1.55,1170.0,0.32,0.3,0.057,1.38,806.0,11.38,0.92,0.082,2.0,g,100.0,32.91,0.0,0.2
0.0,549.0,676.82,0.0,20.0,0.0,180.0,4.2,Nut; brazilnut; raw,0.0,697,0.17,1.27,0.0,410.0,2.8,0.23,0.45,0.761,590.0,0.12,0.7,0.022,1.1,760.0,4.31,1.5,0.011,7.18,g,175.0,11.96,0.0,1.0
0.0,200.0,364.04,0.0,0.0,0.0,68.0,2.7,Oats; grains rolled; toasted; Rolled Oats; Harraways,0.0,27,0.39,0.001,0.0,140.0,4.5,0.0,1.0,5.6,440.0,0.1,0.0,0.088,0.38,370.0,2.56,0.0,0.0,0.15,g,750.0,12.53,0.0,0.31
0.0,699.0,313.29,0.0,2.3,0.0,383.0,7.47,Spice; cardamom; ground,0.0,2688,0.23,0.0187,0.0,229.0,14.0,0.0,1.0,28.0,178.0,0.18,0.0,0.0,0.38,1120.0,2.9,0.0,0.0,0.0,g,26.0,10.75,0.0,0.2
0.0,399.0,209.4,0.0,1.8,0.0,1470.0,4.75,Herb; parsley; dried,0.0,4988,1.0,0.005,0.0,249.0,97.9,1.61,1.0,10.5,351.0,1.23,122.0,0.18,0.64,3.8e3,10.43,193.8,0.0012,9.15,g,8.0,22.4,0.0,0.17
0.0,449.0,618.38,0.0,17.0,0.0,179.0,2.1,Nut; hazelnut; raw,0.021,359,0.16,0.076,0.0605,64.9,1.95,1.86,1.0,7.69,280.0,0.08,1.0,0.113,1.29,900.0,6.7,2.67,0.076,17.4,g,125.0,14.79,0.0,0.48
0.0,1299.0,102.82,0.00229,2.5,0.0,157.63,2.39,Beef; tripe; simmered,0.0,219,0.01,0.00428,0.0,24.36,3.72,0.23,0.914,6.066,168.45,0.1,0.0,0.00504,0.11,102.15,6.17,5.87,0.0,0.51,g,650.0,19.0,0.038,0.02
0.0,600.0,445.73,0.0,0.0,0.0,74.0,1.7,Tempeh; fermented soy beans; fried in sunflower oil,0.0,240,0.16,0.0,0.0,115.0,9.2,0.0,1.0,1.94,200.0,0.1,0.0,0.029,0.78,542.0,7.8,22.38,0.0,0.0,g,250.0,23.18,0.0,0.09
0.0,299.0,49.4,0.0,0.13,0.0,12.0,0.1,Pineapple; flesh; raw,0.0,62,0.09,0.0008,0.0,17.0,0.4,0.16,0.53,1.92,8.0,0.02,25.0,0.005,0.08,250.0,0.3,10.02,0.0003,0.1,ea,1.0,0.5,0.0,0.08
0.0,179.0,22.83,0.0,0.44,0.0,18.6,0.33,Sprout; bean; seed; germinated; raw; mung,0.0,90,0.08,0.00136,0.0234,18.7,0.4,0.0,1.0,0.30058,50.5,0.12,0.0,0.061,0.08,144.0,1.1,2.0,0.001,0.06,g,200.0,2.88,0.0,0.11
0.0001,80.0,75.6,0.0,3.0,0.0,35.0,0.55,Baked beans; in tomato sauce; canned; Watties,0.002,19,0.12,0.0028,0.022,29.0,1.2,0.0,1.0,0.33,90.0,0.0,0.0,0.0375,0.17,280.0,1.17,13.36,0.0,0.0,g,420.0,5.0,0.0,0.01
0.0,289.0,118.01,0.0,0.31,0.0,3.9,1.23,Rice; white; polished; boiled,4.5e-4,10,0.02,0.0,0.02,8.66,0.13,0.23,1.0,0.722,33.2,0.03,0.0,0.003,0.1,15.9,0.99,0.0,0.0012,0.0,kg,1.0,3.21,0.0,0.0
0.0101,295.0,115.5,0.0042,12.8,0.0,6.1,0.8,Tuna; in spring water; plain; canned; salt added; drained; composite,0.0,240,1.7,0.088,0.0,25.0,1.36,0.0,0.664,0.009,210.0,0.11,0.0,0.0,0.06,220.0,18.49,0.0,0.0,0.27,g,185.0,26.63,0.29600000000000004,0.0
0.0,239.0,315.11,0.0,3.0,0.0,177.0,4.06,Spice; paprika,0.0,598,2.06,0.0,0.0,185.0,23.6,1.78,1.0,0.843,345.0,1.74,71.1,0.049,0.61,2340.0,18.4,4935.27,0.0,29.83,g,40.0,14.73,0.0,0.65
0.0001,1099.0,133.9,0.0003,0.8,0.0,6.9,0.85,Chicken; deli cooked; breast; flesh; ready to eat; composite,0.001,110,0.29,0.03033,0.0072,30.0,0.33,0.0,1.0,0.013,300.0,0.15,0.0,0.02,0.03,370.0,15.9,34.8,0.0,0.42,kg,1.0,28.75,0.004,0.2
