magnesium,iodine,biotin,edible_portion,mercury,vitamin_k1,chromium,potassium,niacin_ne,name,zinc,price,iron,copper,vit_e_a_tocopherol,phosphorus,vitamin_c,thiamin,selenium,protein,calories,o3_epa_dha_dpa,riboflavin,quantity_unit,quantity,folate_dfe,manganese,calcium,vitamin_b6,vitamin_b12,price_100g,molybdenum,vitamin_a_rae,pantothenic_acid
36.0,21.6,0.007,1.0,0.0,0.0,0.0,495.0,8.06,Trevally; flesh; microwaved,0.87,1190.0,1.74,0.12,0.3,281.0,0.6,0.2,0.0369,24.75,126.62,0.673,0.07,kg,1.0,0.0,0.0179,21.0,0.1,0.0008,119,0.0,30.0,0.5
14.0,55.0,0.0,1.0,0.0,0.0,0.0,160.0,4.5,Egg; chicken; white & yolk; fried in butter,1.3,700.0,2.1,0.06,1.52,230.0,0.0,0.07,0.027,15.0,210.95,0.0,0.38,ea,12.0,0.0875,0.029,65.0,0.03,0.00139,101,0.011,221.85,0.0
264.0,50.7,0.0,1.0,0.0,0.0,0.0,1.1e3,1.46,Spice; cloves; ground,1.09,239.0,8.68,0.35,8.82,105.0,80.8,0.12,0.002,5.98,312.8,0.0,0.27,g,40.0,0.093,30.033,646.0,0.0,0.0,598,0.0,16.03,0.0
220.0,2.3,0.0,1.0,0.0,0.0,0.0,814.0,8.04,Herb; thyme; dried; ground,6.18,239.0,124.0,0.86,7.48,201.0,0.0,0.51,0.0046,9.13,273.73,0.0,0.4,g,15.0,0.274,7.87,1890.0,1.21,0.0,1593,0.0,380.84,0.0
366.0,13.6,0.0,1.0,0.0,0.0,0.0,1790.0,7.55,Seed; cumin,4.8,399.0,66.4,0.87,3.33,499.0,7.71,0.63,0.0052,17.81,376.08,0.0,0.33,g,28.0,0.01,3.33,931.0,0.34,0.0,1425,0.0,127.25,0.0
16.0,8.02,0.002,1.0,0.0,0.0,0.0,140.0,3.91,Sausage; black pudding; fried,1.3,300.0,20.0,0.37,0.24,110.0,1.0,0.09,0.017,12.88,303.4,0.0,0.07,g,350.0,0.005,0.62,35.0,0.04,0.001,86,0.0,0.0,0.6
697.0,2.3,0.0,1.0,0.0,0.0,0.0,4490.0,14.3,Herb; coriander; leaves; dried,4.72,399.0,42.7,1.79,1.03,483.0,569.0,1.26,0.0293,21.94,297.55,0.0,1.51,g,8.0,0.274,6.36,1250.0,1.21,0.0,4988,0.0,1314.29,0.0
534.0,9.0,0.082,1.0,0.0,0.0,0.0,806.0,11.38,Seed; pumpkin; roasted; salt added,7.44,249.0,14.9,1.38,2.0,1170.0,0.3,0.2,0.006,32.91,555.22,0.0,0.32,g,100.0,0.057,1.55,43.0,0.09,0.0,249,0.0,0.92,0.04
410.0,20.0,0.011,0.45,0.0,0.0,0.0,760.0,4.31,Nut; brazilnut; raw,4.2,549.0,2.8,1.1,7.18,590.0,0.7,1.0,1.27,11.96,676.82,0.0,0.12,g,175.0,0.022,0.761,180.0,0.17,0.0,697,0.0,1.5,0.23
140.0,0.0,0.0,1.0,0.0,0.0,0.0,370.0,2.56,Oats; grains rolled; toasted; Rolled Oats; Harraways,2.7,200.0,4.5,0.38,0.15,440.0,0.0,0.31,0.001,12.53,364.04,0.0,0.1,g,750.0,0.088,5.6,68.0,0.39,0.0,27,0.0,0.0,0.0
229.0,2.3,0.0,1.0,0.0,0.0,0.0,1120.0,2.9,Spice; cardamom; ground,7.47,699.0,14.0,0.38,0.0,178.0,0.0,0.2,0.0187,10.75,313.29,0.0,0.18,g,26.0,0.0,28.0,383.0,0.23,0.0,2688,0.0,0.0,0.0
249.0,1.8,0.0012,1.0,0.0,0.0,0.0,3.8e3,10.43,Herb; parsley; dried,4.75,399.0,97.9,0.64,9.15,351.0,122.0,0.17,0.005,22.4,209.4,0.0,1.23,g,8.0,0.18,10.5,1470.0,1.0,0.0,4988,0.0,193.8,1.61
