vitamin_a_rae,folate_dfe,phosphorus,iron,niacin_ne,mercury,name,vitamin_c,edible_portion,vit_e_a_tocopherol,pantothenic_acid,molybdenum,chromium,riboflavin,copper,biotin,price,potassium,iodine,o3_epa_dha_dpa,vitamin_k1,protein,quantity_unit,calories,vitamin_b6,vitamin_b12,zinc,thiamin,calcium,magnesium,manganese,quantity,price_100g,selenium
30.0,0.0,281.0,1.74,8.06,0.0,Trevally; flesh; microwaved,0.6,1.0,0.3,0.5,0.0,0.0,0.07,0.12,0.007,1190.0,495.0,21.6,0.673,0.0,24.75,kg,126.62,0.1,0.0008,0.87,0.2,21.0,36.0,0.0179,1.0,119,0.0369
221.85,0.0875,230.0,2.1,4.5,0.0,Egg; chicken; white & yolk; fried in butter,0.0,1.0,1.52,0.0,0.011,0.0,0.38,0.06,0.0,700.0,160.0,55.0,0.0,0.0,15.0,ea,210.95,0.03,0.00139,1.3,0.07,65.0,14.0,0.029,12.0,101,0.027
16.03,0.093,105.0,8.68,1.46,0.0,Spice; cloves; ground,80.8,1.0,8.82,0.0,0.0,0.0,0.27,0.35,0.0,239.0,1.1e3,50.7,0.0,0.0,5.98,g,312.8,0.0,0.0,1.09,0.12,646.0,264.0,30.033,40.0,598,0.002
380.84,0.274,201.0,124.0,8.04,0.0,Herb; thyme; dried; ground,0.0,1.0,7.48,0.0,0.0,0.0,0.4,0.86,0.0,239.0,814.0,2.3,0.0,0.0,9.13,g,273.73,1.21,0.0,6.18,0.51,1890.0,220.0,7.87,15.0,1593,0.0046
127.25,0.01,499.0,66.4,7.55,0.0,Seed; cumin,7.71,1.0,3.33,0.0,0.0,0.0,0.33,0.87,0.0,399.0,1790.0,13.6,0.0,0.0,17.81,g,376.08,0.34,0.0,4.8,0.63,931.0,366.0,3.33,28.0,1425,0.0052
0.0,0.005,110.0,20.0,3.91,0.0,Sausage; black pudding; fried,1.0,1.0,0.24,0.6,0.0,0.0,0.07,0.37,0.002,300.0,140.0,8.02,0.0,0.0,12.88,g,303.4,0.04,0.001,1.3,0.09,35.0,16.0,0.62,350.0,86,0.017
1314.29,0.274,483.0,42.7,14.3,0.0,Herb; coriander; leaves; dried,569.0,1.0,1.03,0.0,0.0,0.0,1.51,1.79,0.0,399.0,4490.0,2.3,0.0,0.0,21.94,g,297.55,1.21,0.0,4.72,1.26,1250.0,697.0,6.36,8.0,4988,0.0293
0.92,0.057,1170.0,14.9,11.38,0.0,Seed; pumpkin; roasted; salt added,0.3,1.0,2.0,0.04,0.0,0.0,0.32,1.38,0.082,249.0,806.0,9.0,0.0,0.0,32.91,g,555.22,0.09,0.0,7.44,0.2,43.0,534.0,1.55,100.0,249,0.006
1.5,0.022,590.0,2.8,4.31,0.0,Nut; brazilnut; raw,0.7,0.45,7.18,0.23,0.0,0.0,0.12,1.1,0.011,549.0,760.0,20.0,0.0,0.0,11.96,g,676.82,0.17,0.0,4.2,1.0,180.0,410.0,0.761,175.0,697,1.27
0.0,0.088,440.0,4.5,2.56,0.0,Oats; grains rolled; toasted; Rolled Oats; Harraways,0.0,1.0,0.15,0.0,0.0,0.0,0.1,0.38,0.0,200.0,370.0,0.0,0.0,0.0,12.53,g,364.04,0.39,0.0,2.7,0.31,68.0,140.0,5.6,750.0,27,0.001
0.0,0.0,178.0,14.0,2.9,0.0,Spice; cardamom; ground,0.0,1.0,0.0,0.0,0.0,0.0,0.18,0.38,0.0,699.0,1120.0,2.3,0.0,0.0,10.75,g,313.29,0.23,0.0,7.47,0.2,383.0,229.0,28.0,26.0,2688,0.0187
193.8,0.18,351.0,97.9,10.43,0.0,Herb; parsley; dried,122.0,1.0,9.15,1.61,0.0,0.0,1.23,0.64,0.0012,399.0,3.8e3,1.8,0.0,0.0,22.4,g,209.4,1.0,0.0,4.75,0.17,1470.0,249.0,10.5,8.0,4988,0.005
2.67,0.113,280.0,1.95,6.7,0.0,Nut; hazelnut; raw,1.0,1.0,17.4,1.86,0.0605,0.021,0.08,1.29,0.076,449.0,900.0,17.0,0.0,0.0,14.79,g,618.38,0.16,0.0,2.1,0.48,179.0,64.9,7.69,125.0,359,0.076
5.87,0.00504,168.45,3.72,6.17,0.0,Beef; tripe; simmered,0.0,0.914,0.51,0.23,0.0,0.0,0.1,0.11,0.0,1299.0,102.15,2.5,0.038,0.0,19.0,g,102.82,0.01,0.00229,2.39,0.02,157.63,24.36,6.066,650.0,219,0.00428
22.38,0.029,200.0,9.2,7.8,0.0,Tempeh; fermented soy beans; fried in sunflower oil,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.78,0.0,600.0,542.0,0.0,0.0,0.0,23.18,g,445.73,0.16,0.0,1.7,0.09,74.0,115.0,1.94,250.0,240,0.0
10.02,0.005,8.0,0.4,0.3,0.0,Pineapple; flesh; raw,25.0,0.53,0.1,0.16,0.0,0.0,0.02,0.08,0.0003,299.0,250.0,0.13,0.0,0.0,0.5,ea,49.4,0.09,0.0,0.1,0.08,12.0,17.0,1.92,1.0,62,0.0008
2.0,0.061,50.5,0.4,1.1,0.0,Sprout; bean; seed; germinated; raw; mung,0.0,1.0,0.06,0.0,0.0234,0.0,0.12,0.08,0.001,179.0,144.0,0.44,0.0,0.0,2.88,g,22.83,0.08,0.0,0.33,0.11,18.6,18.7,0.30058,200.0,90,0.00136
13.36,0.0375,90.0,1.2,1.17,0.0001,Baked beans; in tomato sauce; canned; Watties,0.0,1.0,0.0,0.0,0.022,0.002,0.0,0.17,0.0,80.0,280.0,3.0,0.0,0.0,5.0,g,75.6,0.12,0.0,0.55,0.01,35.0,29.0,0.33,420.0,19,0.0028
0.0,0.003,33.2,0.13,0.99,0.0,Rice; white; polished; boiled,0.0,1.0,0.0,0.23,0.02,4.5e-4,0.03,0.1,0.0012,289.0,15.9,0.31,0.0,0.0,3.21,kg,118.01,0.02,0.0,1.23,0.0,3.9,8.66,0.722,1.0,10,0.0
0.0,0.0,210.0,1.36,18.49,0.0101,Tuna; in spring water; plain; canned; salt added; drained; composite,0.0,0.664,0.27,0.0,0.0,0.0,0.11,0.06,0.0,295.0,220.0,12.8,0.29600000000000004,0.0,26.63,g,115.5,1.7,0.0042,0.8,0.0,6.1,25.0,0.009,185.0,240,0.088
4935.27,0.049,345.0,23.6,18.4,0.0,Spice; paprika,71.1,1.0,29.83,1.78,0.0,0.0,1.74,0.61,0.0,239.0,2340.0,3.0,0.0,0.0,14.73,g,315.11,2.06,0.0,4.06,0.65,177.0,185.0,0.843,40.0,598,0.0
34.8,0.02,300.0,0.33,15.9,0.0001,Chicken; deli cooked; breast; flesh; ready to eat; composite,0.0,1.0,0.42,0.0,0.0072,0.001,0.15,0.03,0.0,1099.0,370.0,0.8,0.004,0.0,28.75,kg,133.9,0.29,0.0003,0.85,0.2,6.9,30.0,0.013,1.0,110,0.03033
2.51,0.2374,1160.0,3.8,12.14,0.0,Seed; sunflower; dry roasted; no salt added,1.4,1.0,39.1,7.04,0.0,0.0,0.25,1.83,0.0,139.0,850.0,4.2,0.0,0.0,19.38,g,593.26,0.8,0.0,5.29,0.11,70.0,129.0,2.11,100.0,139,0.051
174.2,0.027,120.0,0.53,2.82,0.0,Mushroom; fungus; fried in butter,0.7,1.0,0.4,2.82,0.0034,0.012,0.28,0.49,0.008,1199.0,430.0,0.2,0.0,0.0,3.54,kg,61.12,0.14,0.0,0.84,0.0,8.1,15.0,0.068,1.0,120,0.053
4.01,0.216,360.0,6.0,5.9,0.0,Bean; seed vegetable; seed; dry; Mung,5.0,1.0,1.97,1.91,0.0,0.0,0.26,0.47,0.001,1050.0,1250.0,0.13,0.0,0.0,26.81,kg,271.95,0.38,0.0,2.7,0.36,89.0,150.0,0.8,1.0,42,0.011
0.0,0.002,834.0,2.06,11.6,2.4e-4,Pork; bacon; separable lean; dry fried,0.0,1.0,0.0,1.5,0.00404,0.0134,0.16,0.14,0.005,1.3e3,748.0,1.06,0.0,0.0,41.38,g,280.16,0.23,0.0006,3.87,0.56,12.9,42.2,0.03183,800.0,163,0.0576
1.17,0.099,730.0,5.1,9.8,0.0,Seed; sesame butter; Tahini,0.0,1.0,2.57,2.17,0.0,0.0,0.25,1.7,0.011,799.0,190.0,2.3,0.0,0.0,20.41,g,633.44,0.76,0.0,5.2,0.95,330.0,320.0,1.1,375.0,213,0.0114
311.94,0.0282,600.0,0.05,5.78,4.9e-4,Cheese; Edam; Anchor,0.0,1.0,0.67,0.0,0.008,0.0041,0.56,0.04,0.0,800.0,71.0,4.6,0.0,0.0,28.07,kg,361.59,0.13,0.0036,3.8,0.06,990.0,30.0,0.024,1.0,80,0.011
68.0,0.008,520.0,2.9,12.77,0.0,Sardines; canned; drained,1.0,0.83,0.3,0.5,0.0,0.0,0.36,0.19,0.005,120.0,430.0,23.0,0.0,0.0,23.69,g,218.15,0.48,0.014,3.0,0.04,550.0,52.0,0.112,125.0,116,0.034
587.17,0.0,543.0,48.8,6.15,0.0,Herb; dill weed; dried,50.0,1.0,9.27,0.0,0.0,0.0,0.28,0.49,0.0,400.0,3310.0,2.3,0.0,0.0,20.0,g,283.68,1.46,0.0,3.3,0.42,1780.0,451.0,3.95,10.0,4000,0.0
0.0,0.039,268.0,41.4,6.44,0.0,Spice; turmeric; ground,25.9,1.0,3.15,0.0,0.0,0.0,0.23,0.6,0.0,300.0,2530.0,2.3,0.0,0.0,7.81,g,280.13,1.8,0.0,4.35,0.15,183.0,193.0,7.83,28.0,1071,0.0045
107.72,0.011,120.0,3.1,3.09,0.0,Apricot; dried,1.0,1.0,2.4,0.56,0.0,0.0,0.2,0.46,0.0045,899.0,1510.0,2.2,0.0,0.0,4.31,g,202.65,0.14,0.0,0.8,0.01,67.0,57.0,0.38,500.0,180,6.8e-4
38.89,0.0,124.0,0.0,1.29,0.0,Yoghurt; Greek style; low fat ; Fresh 'n Fruity,0.0,1.0,0.0,0.3,0.0,0.0,1.31,0.0,0.0,550.0,220.0,8.9,0.006,0.0,5.68,kg,63.41,0.06,5.8e-4,0.6,0.02,167.0,14.4,0.0047,1.0,55,0.0017
0.17,0.05,484.0,3.72,6.95,0.0,Nut; almond; raw; dried; unblanched,0.0,1.0,26.34,0.47,0.0,0.0,1.01,1.0,0.0,900.0,705.0,2.0,0.0,0.0,21.22,g,548.22,0.14,0.0,3.08,0.21,264.0,268.0,2.285,450.0,200,0.0025
3.55,0.0,237.17,4.94,10.59,0.0,Lamb; offal; heart; simmered & drained,0.0,0.723,0.63,1.83,0.0,0.0,0.84,0.64,0.0,449.0,187.1,1.66,0.136,0.0,26.26,g,160.91,0.13,0.00918,2.66,0.23,5.48,21.92,0.02774,600.0,104,0.0203
140.0,0.043,330.0,6.4,11.35,0.0,Pork; kidney; core removed; stewed; salt added,11.0,0.56,0.36,2.4,0.0,0.0,2.1,0.84,0.053,199.0,190.0,0.93,0.0,0.0,24.44,g,152.65,0.28,0.015,4.7,0.19,13.0,21.0,0.07,400.0,89,0.25
90.0,0.02,354.0,0.7,11.0,0.0,Salmon; chum; canned; drained,0.0,0.81,1.5,0.56,0.0,0.0,0.16,0.1,0.005,259.0,300.0,34.9,0.0,0.0,21.63,g,137.2,0.38,0.0044,1.0,0.02,249.0,30.0,0.02,210.0,152,0.075
5.85,0.162,180.0,10.9,11.4,0.0,Powder; mustard,0.0,1.0,5.74,0.0,0.0,0.0,0.0,0.2,0.0,349.0,940.0,4.5,0.0,0.0,28.88,g,449.8,0.0,0.0,6.5,1.3,330.0,260.0,1.9,57.0,612,0.1336
4.18,0.022,291.0,2.13,1.77,0.0,Nut; pecan; dried; raw,2.0,1.0,6.64,1.71,0.0,0.0,0.13,1.18,0.0,499.0,392.0,2.3,0.0,0.0,7.74,g,694.55,0.19,0.0,5.47,0.85,36.0,128.0,4.51,115.0,434,0.0053
0.0,0.0013,349.0,1.98,11.11,0.0,Pork; schnitzel; lean; fried,0.8,1.0,0.2,1.03,0.0,0.0,0.07,0.09,0.0037,2499.0,572.0,0.93,0.0,0.0,31.5,kg,160.65,0.16,5.1e-4,3.36,0.81,7.0,36.0,0.026,1.0,250,0.0066
4175.0,0.106,293.0,7.8,10.72,0.0,Spice; pepper; red or cayenne,76.4,1.0,29.83,0.0,0.0,0.0,0.92,0.37,0.0,239.0,2010.0,6.0,0.0,0.0,12.0,g,329.83,2.45,0.0,2.48,0.33,148.0,152.0,2.0,40.0,598,0.004
1486.3,0.01,14.0,0.37,0.65,0.0,Carrot; root vegetable; taproot; frozen; raw; Red Cored Chantenay,2.1,1.0,0.2,0.19,0.0,0.0,0.01,0.05,0.0006,299.0,110.0,0.44,0.0,0.0,0.63,kg,23.64,0.01,0.0,0.2,0.03,27.0,7.0,0.13,1.0,30,1.5e-4
1158.81,0.0086,22.0,0.48,0.9,0.0,Apricot; flesh & skin; raw; Moorpark,7.8,0.94,1.45,0.27,0.0,0.0,0.08,0.14,0.0019,699.0,240.0,0.13,0.0,0.0,0.63,kg,44.3,0.11,0.0,0.29,0.03,16.0,9.0,0.11,1.0,74,1.7e-4
18.07,0.005,128.0,3.0,7.1,0.0,Beef; corned; canned; Corned Beef; Golden Country,0.0,1.0,0.56,0.0,0.0,0.0,0.11,0.16,0.0,599.0,195.0,50.0,0.016,0.0,15.8,g,217.1,0.15,0.0038,2.5,0.0,16.1,16.0,0.029,340.0,176,0.0093
