mercury,chromium,copper,price_100g,pantothenic_acid,folate_dfe,iodine,name,potassium,magnesium,calcium,phosphorus,zinc,vitamin_b12,vitamin_k1,biotin,o3_epa_dha_dpa,manganese,vitamin_c,quantity,edible_portion,calories,iron,vitamin_a_rae,niacin_ne,vit_e_a_tocopherol,protein,vitamin_b6,molybdenum,price,quantity_unit,selenium,thiamin,riboflavin
0.0,0.0,0.12,119,0.5,0.0,21.6,Trevally; flesh; microwaved,495.0,36.0,21.0,281.0,0.87,0.0008,0.0,0.007,0.673,0.0179,0.6,1.0,1.0,126.62,1.74,30.0,8.06,0.3,24.75,0.1,0.0,1190.0,kg,0.0369,0.2,0.07
0.0,0.0,0.06,101,0.0,0.0875,55.0,Egg; chicken; white & yolk; fried in butter,160.0,14.0,65.0,230.0,1.3,0.00139,0.0,0.0,0.0,0.029,0.0,12.0,1.0,210.95,2.1,221.85,4.5,1.52,15.0,0.03,0.011,700.0,ea,0.027,0.07,0.38
0.0,0.0,0.35,598,0.0,0.093,50.7,Spice; cloves; ground,1.1e3,264.0,646.0,105.0,1.09,0.0,0.0,0.0,0.0,30.033,80.8,40.0,1.0,312.8,8.68,16.03,1.46,8.82,5.98,0.0,0.0,239.0,g,0.002,0.12,0.27
0.0,0.0,0.86,1593,0.0,0.274,2.3,Herb; thyme; dried; ground,814.0,220.0,1890.0,201.0,6.18,0.0,0.0,0.0,0.0,7.87,0.0,15.0,1.0,273.73,124.0,380.84,8.04,7.48,9.13,1.21,0.0,239.0,g,0.0046,0.51,0.4
0.0,0.0,0.87,1425,0.0,0.01,13.6,Seed; cumin,1790.0,366.0,931.0,499.0,4.8,0.0,0.0,0.0,0.0,3.33,7.71,28.0,1.0,376.08,66.4,127.25,7.55,3.33,17.81,0.34,0.0,399.0,g,0.0052,0.63,0.33
0.0,0.0,0.37,86,0.6,0.005,8.02,Sausage; black pudding; fried,140.0,16.0,35.0,110.0,1.3,0.001,0.0,0.002,0.0,0.62,1.0,350.0,1.0,303.4,20.0,0.0,3.91,0.24,12.88,0.04,0.0,300.0,g,0.017,0.09,0.07
0.0,0.0,1.79,4988,0.0,0.274,2.3,Herb; coriander; leaves; dried,4490.0,697.0,1250.0,483.0,4.72,0.0,0.0,0.0,0.0,6.36,569.0,8.0,1.0,297.55,42.7,1314.29,14.3,1.03,21.94,1.21,0.0,399.0,g,0.0293,1.26,1.51
0.0,0.0,1.38,249,0.04,0.057,9.0,Seed; pumpkin; roasted; salt added,806.0,534.0,43.0,1170.0,7.44,0.0,0.0,0.082,0.0,1.55,0.3,100.0,1.0,555.22,14.9,0.92,11.38,2.0,32.91,0.09,0.0,249.0,g,0.006,0.2,0.32
0.0,0.0,1.1,697,0.23,0.022,20.0,Nut; brazilnut; raw,760.0,410.0,180.0,590.0,4.2,0.0,0.0,0.011,0.0,0.761,0.7,175.0,0.45,676.82,2.8,1.5,4.31,7.18,11.96,0.17,0.0,549.0,g,1.27,1.0,0.12
0.0,0.0,0.38,27,0.0,0.088,0.0,Oats; grains rolled; toasted; Rolled Oats; Harraways,370.0,140.0,68.0,440.0,2.7,0.0,0.0,0.0,0.0,5.6,0.0,750.0,1.0,364.04,4.5,0.0,2.56,0.15,12.53,0.39,0.0,200.0,g,0.001,0.31,0.1
0.0,0.0,0.38,2688,0.0,0.0,2.3,Spice; cardamom; ground,1120.0,229.0,383.0,178.0,7.47,0.0,0.0,0.0,0.0,28.0,0.0,26.0,1.0,313.29,14.0,0.0,2.9,0.0,10.75,0.23,0.0,699.0,g,0.0187,0.2,0.18
0.0,0.0,0.64,4988,1.61,0.18,1.8,Herb; parsley; dried,3.8e3,249.0,1470.0,351.0,4.75,0.0,0.0,0.0012,0.0,10.5,122.0,8.0,1.0,209.4,97.9,193.8,10.43,9.15,22.4,1.0,0.0,399.0,g,0.005,0.17,1.23
0.0,0.021,1.29,359,1.86,0.113,17.0,Nut; hazelnut; raw,900.0,64.9,179.0,280.0,2.1,0.0,0.0,0.076,0.0,7.69,1.0,125.0,1.0,618.38,1.95,2.67,6.7,17.4,14.79,0.16,0.0605,449.0,g,0.076,0.48,0.08
0.0,0.0,0.11,219,0.23,0.00504,2.5,Beef; tripe; simmered,102.15,24.36,157.63,168.45,2.39,0.00229,0.0,0.0,0.038,6.066,0.0,650.0,0.914,102.82,3.72,5.87,6.17,0.51,19.0,0.01,0.0,1299.0,g,0.00428,0.02,0.1
0.0,0.0,0.78,240,0.0,0.029,0.0,Tempeh; fermented soy beans; fried in sunflower oil,542.0,115.0,74.0,200.0,1.7,0.0,0.0,0.0,0.0,1.94,0.0,250.0,1.0,445.73,9.2,22.38,7.8,0.0,23.18,0.16,0.0,600.0,g,0.0,0.09,0.1
0.0,0.0,0.08,62,0.16,0.005,0.13,Pineapple; flesh; raw,250.0,17.0,12.0,8.0,0.1,0.0,0.0,0.0003,0.0,1.92,25.0,1.0,0.53,49.4,0.4,10.02,0.3,0.1,0.5,0.09,0.0,299.0,ea,0.0008,0.08,0.02
0.0,0.0,0.08,90,0.0,0.061,0.44,Sprout; bean; seed; germinated; raw; mung,144.0,18.7,18.6,50.5,0.33,0.0,0.0,0.001,0.0,0.30058,0.0,200.0,1.0,22.83,0.4,2.0,1.1,0.06,2.88,0.08,0.0234,179.0,g,0.00136,0.11,0.12
0.0001,0.002,0.17,19,0.0,0.0375,3.0,Baked beans; in tomato sauce; canned; Watties,280.0,29.0,35.0,90.0,0.55,0.0,0.0,0.0,0.0,0.33,0.0,420.0,1.0,75.6,1.2,13.36,1.17,0.0,5.0,0.12,0.022,80.0,g,0.0028,0.01,0.0
0.0,4.5e-4,0.1,10,0.23,0.003,0.31,Rice; white; polished; boiled,15.9,8.66,3.9,33.2,1.23,0.0,0.0,0.0012,0.0,0.722,0.0,1.0,1.0,118.01,0.13,0.0,0.99,0.0,3.21,0.02,0.02,289.0,kg,0.0,0.0,0.03
0.0101,0.0,0.06,240,0.0,0.0,12.8,Tuna; in spring water; plain; canned; salt added; drained; composite,220.0,25.0,6.1,210.0,0.8,0.0042,0.0,0.0,0.29600000000000004,0.009,0.0,185.0,0.664,115.5,1.36,0.0,18.49,0.27,26.63,1.7,0.0,295.0,g,0.088,0.0,0.11
0.0,0.0,0.61,598,1.78,0.049,3.0,Spice; paprika,2340.0,185.0,177.0,345.0,4.06,0.0,0.0,0.0,0.0,0.843,71.1,40.0,1.0,315.11,23.6,4935.27,18.4,29.83,14.73,2.06,0.0,239.0,g,0.0,0.65,1.74
0.0001,0.001,0.03,110,0.0,0.02,0.8,Chicken; deli cooked; breast; flesh; ready to eat; composite,370.0,30.0,6.9,300.0,0.85,0.0003,0.0,0.0,0.004,0.013,0.0,1.0,1.0,133.9,0.33,34.8,15.9,0.42,28.75,0.29,0.0072,1099.0,kg,0.03033,0.2,0.15
0.0,0.0,1.83,139,7.04,0.2374,4.2,Seed; sunflower; dry roasted; no salt added,850.0,129.0,70.0,1160.0,5.29,0.0,0.0,0.0,0.0,2.11,1.4,100.0,1.0,593.26,3.8,2.51,12.14,39.1,19.38,0.8,0.0,139.0,g,0.051,0.11,0.25
0.0,0.012,0.49,120,2.82,0.027,0.2,Mushroom; fungus; fried in butter,430.0,15.0,8.1,120.0,0.84,0.0,0.0,0.008,0.0,0.068,0.7,1.0,1.0,61.12,0.53,174.2,2.82,0.4,3.54,0.14,0.0034,1199.0,kg,0.053,0.0,0.28
