quantity,riboflavin,chromium,o3_epa_dha_dpa,name,molybdenum,vitamin_k1,potassium,manganese,iodine,niacin_ne,quantity_unit,vitamin_c,mercury,copper,vitamin_b6,calories,vitamin_b12,price,biotin,thiamin,iron,price_100g,folate_dfe,vit_e_a_tocopherol,zinc,pantothenic_acid,calcium,protein,id,magnesium,edible_portion,phosphorus,selenium,vitamin_a_rae
1.0,0.07,0.0,0.673,Trevally; flesh; microwaved,0.0,0.0,495.0,0.0179,21.6,8.06,kg,0.6,0.0,0.12,0.1,126.62,0.0008,1190.0,0.007,0.2,1.74,119,0.0,0.3,0.87,0.5,21.0,24.75,21,36.0,1.0,281.0,0.0369,30.0
125.0,0.36,0.0,0.0,Sardines; canned; drained,0.0,0.0,430.0,0.112,23.0,12.77,g,1.0,0.0,0.19,0.48,218.15,0.014,120.0,0.005,0.04,2.9,116,0.008,0.3,3.0,0.5,550.0,23.69,49,52.0,0.83,520.0,0.034,68.0
750.0,0.02,0.0,0.478,Snapper; flesh; baked,0.0,0.0,608.0,0.023,56.0,8.6,g,0.19,0.0,0.06,0.1,133.03,6.3e-4,2.8e3,0.007,0.1,0.7,373,0.006,0.3,0.64,0.5,22.0,25.19,20,42.0,1.0,330.0,0.12,35.0
1.0,1.7,0.0,0.0,Chicken; liver in flour; fried,0.0,0.0,290.0,0.278,2.7,15.11,kg,13.0,0.0,0.53,0.45,193.25,0.049,595.0,0.17,0.37,9.1,71,0.5,0.34,3.4,5.5,15.0,20.69,1,23.0,0.84,350.0,0.064,1.11e4
400.0,2.1,0.0,0.0,Pork; kidney; core removed; stewed; salt added,0.0,0.0,190.0,0.07,0.93,11.35,g,11.0,0.0,0.84,0.28,152.65,0.015,199.0,0.053,0.19,6.4,89,0.043,0.36,4.7,2.4,13.0,24.44,56,21.0,0.56,330.0,0.25,140.0
1.0,0.28,0.012,0.0,Mushroom; fungus; fried in butter,0.0034,0.0,430.0,0.068,0.2,2.82,kg,0.7,0.0,0.49,0.14,61.12,0.0,1199.0,0.008,0.0,0.53,120,0.027,0.4,0.84,2.82,8.1,3.54,44,15.0,1.0,120.0,0.053,174.2
1.0,0.15,0.001,0.004,Chicken; deli cooked; breast; flesh; ready to eat; composite,0.0072,0.0,370.0,0.013,0.8,15.9,kg,0.0,0.0001,0.03,0.29,133.9,0.0003,1099.0,0.0,0.2,0.33,110,0.02,0.42,0.85,0.0,6.9,28.75,42,30.0,1.0,300.0,0.03033,34.8
650.0,0.1,0.0,0.038000000000000006,Beef; tripe; simmered,0.0,0.0,102.15,6.066,2.5,6.17,g,0.0,0.0,0.11,0.01,102.82,0.00229,1299.0,0.0,0.02,3.72,219,0.00504,0.51,2.39,0.23,157.63,19.0,34,24.36,0.914,168.45,0.00428,5.87
340.0,0.11,0.0,0.016,Beef; corned; canned; Corned Beef; Golden Country,0.0,0.0,195.0,0.029,50.0,7.1,g,0.0,0.0,0.16,0.15,217.1,0.0038,599.0,0.0,0.0,3.0,176,0.005,0.56,2.5,0.0,16.1,15.8,64,16.0,1.0,128.0,0.0093,18.07
200.0,0.28,0.0,0.0,Cheese; Gruyere,0.0,0.0,81.0,0.017,5.5,6.5,g,0.0,0.0,0.03,0.08,410.24,0.0016,900.0,0.0015,0.06,0.17,450,0.0104,0.58,3.9,0.56,1010.0,29.79,7,35.9,1.0,605.0,0.0145,301.08
